master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12,
099ba066-5e6d-11eb-8dbd-000d3a38a36f,136,2,425.7,3,1,2,312,about_to_sleep,"[ERKEK, AKTIFSPOR]",
09cb00a8-ad44-11e9-a2fc-000d3a38a36f,296,11,1510.21,1,5,5,155,cant_loose,"[ERKEK, AKTIFSPOR]",
09f7a470-5bed-11ea-bdcb-000d3a38a36f,167,2,215.73,3,1,1,311,about_to_sleep,[ERKEK],
0a230598-5b3e-11ea-8602-000d3a38a36f,117,2,170.98,3,1,1,311,about_to_sleep,[AKTIFCOCUK],
0a4e6440-a9dc-11e9-a2fc-000d3a38a36f,303,14,2208.53,1,5,5,155,cant_loose,"[AKTIFCOCUK, ERKEK, COCUK]",
0a7329f8-a110-11e9-a2fc-000d3a38a36f,167,3,269.97,3,2,1,321,about_to_sleep,[ERKEK],
0a9011fe-2f71-11ea-bb80-000d3a38a36f,314,14,1558.86,1,5,5,155,cant_loose,[ERKEK],
0ac4bd5c-0d54-11eb-8ffc-000d3a38a36f,261,11,984.76,2,5,4,254,cant_loose,"[AKTIFCOCUK, AKTIFSPOR]",
0aeebb24-67af-11eb-b5d7-000d3a38a36f,50,2,150.97,5,1,1,511,new_customers,[ERKEK],
0b195256-aab1-11e9-a2fc-000d3a38a36f,204,8,2118.26,2,5,5,255,cant_loose,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",
0b27d99c-9df0-11ea-80cd-000d3a38a36f,156,2,170.86,3,1,1,311,about_to_sleep,[COCUK],
0b640f60-1c87-11ea-a490-000d3a38a36f,134,2,254.95,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, AKTIFSPOR]",
0b67c74c-2b76-11ea-9d27-000d3a38a36f,129,3,295.19,3,2,1,321,about_to_sleep,[COCUK],
0b89590e-9db7-11e9-9897-000d3a38a36f,216,10,1325.9,2,5,5,255,cant_loose,"[COCUK, AKTIFSPOR]",
0bd7f67e-ede6-11ea-bb5a-000d3a38a36f,227,10,1029.79,2,5,5,255,cant_loose,"[AKTIFCOCUK, KADIN]",
0c24fc44-2ac8-11ea-9d27-000d3a38a36f,144,2,1558.53,3,1,5,315,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]",
0c2d8c68-f361-11e9-9346-000d3a38a36f,167,2,254.96,3,1,1,311,about_to_sleep,[COCUK],
0c3b4492-9e08-11e9-9897-000d3a38a36f,195,10,1303.92,2,5,5,255,cant_loose,"[COCUK, KADIN]",
0c5bf524-a7c3-11e9-a2fc-000d3a38a36f,128,2,238.83,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, KADIN]",
0c6996e6-a518-11e9-a2fc-000d3a38a36f,33,2,451.6,5,1,2,512,new_customers,"[ERKEK, AKTIFSPOR]",
0ca16b6c-5b06-11ea-8392-000d3a38a36f,139,2,244.14,3,1,1,311,about_to_sleep,"[COCUK, AKTIFSPOR]",
0caf637a-0c9a-11eb-8ffc-000d3a38a36f,127,3,433.89,3,2,2,322,about_to_sleep,[AKTIFCOCUK],
0cea49f8-5f02-11eb-8dbd-000d3a38a36f,154,2,200.94,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, COCUK]",
0d5265a8-24cd-11ea-bf27-000d3a38a36f,165,3,513.38,3,2,3,323,about_to_sleep,[ERKEK],
0d5973ba-d702-11ea-82f4-000d3a38a36f,165,2,259.97,3,1,1,311,about_to_sleep,"[ERKEK, AKTIFSPOR]",
0d9a4224-ab65-11e9-a2fc-000d3a38a36f,196,16,3737.49,2,5,5,255,cant_loose,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",
0da9ae80-a8f4-11e9-a2fc-000d3a38a36f,175,2,100.47,3,1,1,311,about_to_sleep,[AKTIFCOCUK],
0dd11f56-8d73-11ea-8f41-000d3a38a36f,164,2,327.93,3,1,2,312,about_to_sleep,"[AKTIFCOCUK, KADIN]",
0e36027e-66d3-11eb-975c-000d3a38a36f,55,2,698.93,5,1,4,514,new_customers,"[ERKEK, KADIN]",
0e44b5fc-aa24-11e9-a2fc-000d3a38a36f,190,15,2212.51,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
0e5836c2-d69d-11e9-93bc-000d3a38a36f,35,2,366.33,5,1,2,512,new_customers,[ERKEK],
0e6693d6-a99b-11e9-a2fc-000d3a38a36f,219,23,3223.25,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
0e67e440-95b0-11eb-b5c3-000d3a38a36f,37,2,299.87,5,1,1,511,new_customers,[AKTIFCOCUK],
0ebe5f68-b089-11e9-9757-000d3a38a36f,174,2,127.98,3,1,1,311,about_to_sleep,"[ERKEK, COCUK]",
0ece152a-af9e-11e9-a2fc-000d3a38a36f,274,9,1116.33,1,5,5,155,cant_loose,[ERKEK],
0f115e3c-a144-11ea-afff-000d3a38a36f,146,3,281.7,3,2,1,321,about_to_sleep,"[ERKEK, KADIN]",
0f37c9fc-26c6-11eb-8a9b-000d3a38a36f,192,10,1029.88,2,5,5,255,cant_loose,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]",
0f5c2fc4-1d3d-11ea-a490-000d3a38a36f,130,2,197.57,3,1,1,311,about_to_sleep,[COCUK],
0f63f6c0-a1bc-11e9-a2fc-000d3a38a36f,139,3,302.96,3,2,2,322,about_to_sleep,[ERKEK],
0fd279be-a5be-11e9-a2fc-000d3a38a36f,162,3,214.97,3,2,1,321,about_to_sleep,[COCUK],
105c5046-61d2-11ea-8dd8-000d3a38a36f,131,2,525.94,3,1,3,313,about_to_sleep,[ERKEK],
105f3fd8-b0b7-11eb-bbf8-000d3a38a36f,37,2,234.47,5,1,1,511,new_customers,[COCUK],
109e9e58-fd58-11e9-a5e8-000d3a38a36f,251,8,854.79,2,5,4,254,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
10f7164e-a8c3-11e9-a2fc-000d3a38a36f,216,8,845.36,2,5,4,254,cant_loose,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]",
111db0b6-afc0-11e9-9757-000d3a38a36f,231,8,1208.75,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
11419eb0-2c5f-11ea-b752-000d3a38a36f,140,3,286.76,3,2,1,321,about_to_sleep,[ERKEK],
1152fa5c-a915-11e9-a2fc-000d3a38a36f,233,8,1041.27,2,5,5,255,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
115f855a-5bdb-11ea-8e16-000d3a38a36f,135,2,190.73,3,1,1,311,about_to_sleep,[COCUK],
1174bb82-3fce-11eb-806e-000d3a38a36f,129,2,297.48,3,1,1,311,about_to_sleep,"[ERKEK, KADIN]",
118de2aa-a0bb-11e9-a2fc-000d3a38a36f,301,12,1389.88,1,5,5,155,cant_loose,"[ERKEK, AKTIFSPOR]",
118fbb68-5b49-11ea-95ae-000d3a38a36f,56,2,561.93,5,1,3,513,new_customers,[AKTIFCOCUK],
11e2bdae-533d-11ea-acd3-000d3a38a36f,172,3,416.46,3,2,2,322,about_to_sleep,[ERKEK],
11fb8f1e-9e25-11e9-9897-000d3a38a36f,215,11,907.13,2,5,4,254,cant_loose,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",
1206f3f2-ace6-11e9-a2fc-000d3a38a36f,380,9,613.92,1,5,3,153,cant_loose,[COCUK],
122df0a8-4b53-11eb-806e-000d3a38a36f,59,2,184.97,5,1,1,511,new_customers,"[ERKEK, COCUK, KADIN]",
126a9328-aeff-11ea-b736-000d3a38a36f,348,9,1449.83,1,5,5,155,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
126ba606-25c9-11ea-b1c8-000d3a38a36f,48,2,446.1,5,1,2,512,new_customers,[COCUK],
12806c5e-1a97-11ea-98d5-000d3a38a36f,340,8,2145.38,1,5,5,155,cant_loose,[COCUK],
1295f1ca-2124-11eb-b361-000d3a38a36f,282,13,1061.26,1,5,5,155,cant_loose,"[AKTIFCOCUK, KADIN]",
12a2852e-9daa-11e9-9897-000d3a38a36f,198,8,1107.97,2,5,5,255,cant_loose,[ERKEK],
12dd5428-a5b7-11e9-a2fc-000d3a38a36f,214,10,1186.35,2,5,5,255,cant_loose,"[AKTIFCOCUK, ERKEK]",
13464424-5cbd-11eb-8dbd-000d3a38a36f,150,2,445.39,3,1,2,312,about_to_sleep,"[ERKEK, AKTIFSPOR]",
13485f12-abc3-11ea-b736-000d3a38a36f,174,3,179.97,3,2,1,321,about_to_sleep,"[ERKEK, COCUK, AKTIFSPOR]",
13a0117a-5bc9-11ea-9114-000d3a38a36f,138,2,391.77,3,1,2,312,about_to_sleep,[AKTIFCOCUK],
13a5e98c-a824-11e9-a2fc-000d3a38a36f,238,9,1174,2,5,5,255,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
13cc7d14-a76a-11e9-a2fc-000d3a38a36f,341,7,711.46,1,5,4,154,cant_loose,"[COCUK, KADIN]",
13ec02d2-a513-11e9-a2fc-000d3a38a36f,221,13,2914.78,2,5,5,255,cant_loose,[COCUK],
13ed97a4-b167-11e9-89fa-000d3a38a36f,318,8,932.36,1,5,4,154,cant_loose,"[AKTIFCOCUK, COCUK, KADIN]",
13fe9852-a798-11e9-a2fc-000d3a38a36f,256,13,2844.72,2,5,5,255,cant_loose,"[COCUK, AKTIFSPOR]",
14028456-ad1c-11e9-a2fc-000d3a38a36f,282,8,1175.83,1,5,5,155,cant_loose,"[ERKEK, AKTIFSPOR]",
144624b4-a302-11e9-a2fc-000d3a38a36f,181,8,1329.22,2,5,5,255,cant_loose,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",
14485136-9d8e-11e9-9897-000d3a38a36f,165,3,279.96,3,2,1,321,about_to_sleep,"[ERKEK, AKTIFSPOR]",
1456f408-1e7f-11ea-aa32-000d3a38a36f,147,2,244.6,3,1,1,311,about_to_sleep,[COCUK],
1461b37c-5be0-11ea-a4d0-000d3a38a36f,167,2,210.1,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, COCUK]",
146558ea-9e7d-11e9-9897-000d3a38a36f,161,3,326.16,3,2,2,322,about_to_sleep,"[COCUK, KADIN, AKTIFSPOR]",
146b62d8-a5a5-11e9-a2fc-000d3a38a36f,216,10,1651.14,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
147f9228-9e19-11e9-9897-000d3a38a36f,312,7,903.42,1,5,4,154,cant_loose,"[ERKEK, AKTIFSPOR]",
14f1c564-a486-11e9-a2fc-000d3a38a36f,136,3,310.46,3,2,2,322,about_to_sleep,"[AKTIFCOCUK, COCUK, AKTIFSPOR]",
150bd982-da49-11ea-a65b-000d3a38a36f,148,3,524.56,3,2,3,323,about_to_sleep,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",
1517dc4e-9f73-11e9-a2fc-000d3a38a36f,230,8,1318.37,2,5,5,255,cant_loose,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",
154461ac-5bab-11ea-84be-000d3a38a36f,234,12,3433.81,2,5,5,255,cant_loose,"[ERKEK, KADIN]",
154efc40-d620-11e9-93bc-000d3a38a36f,370,8,1433.8,1,5,5,155,cant_loose,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",
1583f892-a78a-11e9-a2fc-000d3a38a36f,359,10,1155.02,1,5,5,155,cant_loose,"[ERKEK, KADIN]",
158a0ba0-ad8f-11e9-a2fc-000d3a38a36f,234,9,1070.66,2,5,5,255,cant_loose,"[COCUK, KADIN]",
15aafbda-9dcc-11e9-9897-000d3a38a36f,214,7,1066.39,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
15ad2b5a-49ae-11eb-806e-000d3a38a36f,173,3,542.95,3,2,3,323,about_to_sleep,"[ERKEK, AKTIFSPOR]",
15b476ec-9d86-11e9-9897-000d3a38a36f,149,3,405.95,3,2,2,322,about_to_sleep,"[COCUK, KADIN]",
1637d1d6-de1d-11e9-957d-000d3a38a36f,169,3,747.01,3,2,4,324,about_to_sleep,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]",
164d388e-a720-11e9-a2fc-000d3a38a36f,351,7,938.84,1,5,4,154,cant_loose,[ERKEK],
167e930a-da17-11e9-93bc-000d3a38a36f,214,7,1239.81,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
1684eda8-d63a-11e9-93bc-000d3a38a36f,219,8,1200.49,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
169a12f4-ad37-11e9-a2fc-000d3a38a36f,169,3,328.08,3,2,2,322,about_to_sleep,[COCUK],
16b17a7c-b0c3-11e9-9757-000d3a38a36f,268,9,1405.78,1,5,5,155,cant_loose,"[ERKEK, KADIN]",
16ddc40a-b14a-11ea-b736-000d3a38a36f,55,2,234.39,5,1,1,511,new_customers,[ERKEK],
16ef5a7e-b120-11e9-9757-000d3a38a36f,232,34,5483.03,2,5,5,255,cant_loose,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]",
17261cc6-ac66-11e9-a2fc-000d3a38a36f,361,10,896.32,1,5,4,154,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
175699e0-2ac0-11ea-b3a7-000d3a38a36f,185,7,1413.39,2,5,5,255,cant_loose,[ERKEK],
176fe254-bbf9-11ea-9a91-000d3a38a36f,139,3,156.94,3,2,1,321,about_to_sleep,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",
17739e6e-f289-11ea-9011-000d3a38a36f,34,2,134.89,5,1,1,511,new_customers,[ERKEK],
178a35cc-b160-11e9-89fa-000d3a38a36f,321,8,959.41,1,5,4,154,cant_loose,"[ERKEK, COCUK]",
1797e7dc-84a3-11ea-80af-000d3a38a36f,42,2,356.96,5,1,2,512,new_customers,[ERKEK],
17dd89f0-713d-11ea-adca-000d3a38a36f,160,3,314.93,3,2,2,322,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK]",
1805b5ca-5b52-11ea-8770-000d3a38a36f,154,3,459.61,3,2,3,323,about_to_sleep,[AKTIFCOCUK],
181fc774-abb4-11e9-a2fc-000d3a38a36f,150,3,231.36,3,2,1,321,about_to_sleep,"[COCUK, KADIN]",
18265ec8-c67e-11ea-9bc9-000d3a38a36f,136,3,359.2,3,2,2,322,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]",
1854e56c-491f-11eb-806e-000d3a38a36f,165,2,121.97,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, COCUK]",
18758640-d612-11e9-93bc-000d3a38a36f,49,2,350.97,5,1,2,512,new_customers,[ERKEK],
18786c40-f045-11ea-bde9-000d3a38a36f,50,2,571.95,5,1,3,513,new_customers,"[COCUK, AKTIFSPOR]",
189eea8a-ac8c-11e9-a2fc-000d3a38a36f,132,3,405.33,3,2,2,322,about_to_sleep,[ERKEK],
18acf516-cc12-11ea-b305-000d3a38a36f,133,2,130.49,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, KADIN]",
18bef850-5b39-11ea-b2be-000d3a38a36f,59,2,322.38,5,1,2,512,new_customers,[AKTIFCOCUK],
18d2b56e-af83-11e9-a2fc-000d3a38a36f,216,7,1001.28,2,5,4,254,cant_loose,"[ERKEK, KADIN]",
18ea868e-c4fa-11ea-98f7-000d3a38a36f,37,2,315.3,5,1,2,512,new_customers,[ERKEK],
1900d782-5bef-11ea-99d6-000d3a38a36f,235,9,1584.87,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
196edf12-ac71-11e9-a2fc-000d3a38a36f,276,11,1454.04,1,5,5,155,cant_loose,"[ERKEK, AKTIFSPOR]",
1981e95a-2957-11ea-b87a-000d3a38a36f,129,2,325.99,3,1,2,312,about_to_sleep,[AKTIFCOCUK],
1982ac0e-9f4c-11e9-9897-000d3a38a36f,368,12,1618.22,1,5,5,155,cant_loose,[AKTIFCOCUK],
19e194d2-4ac6-11ea-8533-000d3a38a36f,278,7,972.89,1,5,4,154,cant_loose,"[AKTIFCOCUK, COCUK, AKTIFSPOR]",
19e8adf0-b00f-11e9-9757-000d3a38a36f,261,9,965.85,2,5,4,254,cant_loose,"[AKTIFCOCUK, COCUK]",
19ffb4f6-b0b2-11ea-b736-000d3a38a36f,161,2,239.98,3,1,1,311,about_to_sleep,"[ERKEK, AKTIFSPOR]",
1a26bbcc-adb2-11e9-a2fc-000d3a38a36f,194,9,1207.78,2,5,5,255,cant_loose,"[AKTIFCOCUK, ERKEK, KADIN]",
1a5c8f40-cd82-11ea-b1a6-000d3a38a36f,161,2,190.87,3,1,1,311,about_to_sleep,[ERKEK],
1a70bade-b13a-11e9-9757-000d3a38a36f,383,11,1688.9,1,5,5,155,cant_loose,[ERKEK],
1ac46a6c-a5be-11e9-a2fc-000d3a38a36f,229,10,1092.86,2,5,5,255,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
1ac6cf4c-ab35-11e9-a2fc-000d3a38a36f,178,7,1130.35,2,5,5,255,cant_loose,"[AKTIFCOCUK, ERKEK, KADIN]",
1acf7870-87af-11ea-ace9-000d3a38a36f,133,2,298.09,3,1,1,311,about_to_sleep,"[ERKEK, KADIN]",
1ad652c6-9e85-11e9-9897-000d3a38a36f,201,9,888.21,2,5,4,254,cant_loose,"[AKTIFCOCUK, COCUK]",
1afc16ea-aac0-11e9-a2fc-000d3a38a36f,220,9,1019.86,2,5,4,254,cant_loose,"[ERKEK, KADIN]",
1b234d48-ab13-11e9-a2fc-000d3a38a36f,344,7,692.85,1,5,4,154,cant_loose,"[ERKEK, AKTIFSPOR]",
1b49e556-ada3-11e9-a2fc-000d3a38a36f,35,2,229.95,5,1,1,511,new_customers,[COCUK],
1ba38c82-9f1b-11e9-9897-000d3a38a36f,214,7,989.78,2,5,4,254,cant_loose,[AKTIFCOCUK],
1ba79718-559b-11eb-9e65-000d3a38a36f,118,2,315.86,3,1,2,312,about_to_sleep,"[AKTIFCOCUK, KADIN]",
1bd05ae0-5b55-11ea-b021-000d3a38a36f,41,2,257.29,5,1,1,511,new_customers,[AKTIFCOCUK],
1c2afc22-ae5b-11e9-a2fc-000d3a38a36f,54,2,269.88,5,1,1,511,new_customers,"[COCUK, AKTIFSPOR]",
1c363d36-aab3-11e9-a2fc-000d3a38a36f,225,11,1097.33,2,5,5,255,cant_loose,"[COCUK, AKTIFSPOR]",
1c508dce-46c3-11ea-b6c0-000d3a38a36f,56,2,881.65,5,1,4,514,new_customers,"[AKTIFCOCUK, AKTIFSPOR]",
1c511e60-5e73-11eb-8dbd-000d3a38a36f,149,2,444.95,3,1,2,312,about_to_sleep,[COCUK],
1c7c1e70-5a55-11eb-9e65-000d3a38a36f,151,3,373.95,3,2,2,322,about_to_sleep,"[ERKEK, COCUK, KADIN]",
1c7c6a1e-ddc5-11e9-a848-000d3a38a36f,117,2,307.87,3,1,2,312,about_to_sleep,[ERKEK],
1c8f71e0-56a1-11ea-b9b9-000d3a38a36f,159,3,987.9,3,2,4,324,about_to_sleep,[ERKEK],
1c9f6aa8-ada2-11e9-a2fc-000d3a38a36f,280,12,1698.31,1,5,5,155,cant_loose,"[ERKEK, AKTIFSPOR]",
1cb79d74-a9f8-11e9-a2fc-000d3a38a36f,140,3,222.96,3,2,1,321,about_to_sleep,[COCUK],
1ccc974e-b130-11e9-9757-000d3a38a36f,245,9,1996.88,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
1cd20794-af30-11e9-a2fc-000d3a38a36f,157,3,449.81,3,2,2,322,about_to_sleep,[COCUK],
1cee861e-a7f4-11e9-a2fc-000d3a38a36f,130,3,662.81,3,2,4,324,about_to_sleep,"[ERKEK, COCUK]",
1d17505c-15eb-11ea-aa74-000d3a38a36f,127,3,520.71,3,2,3,323,about_to_sleep,"[COCUK, AKTIFSPOR]",
1d1785d2-a22c-11e9-a2fc-000d3a38a36f,162,3,668.51,3,2,4,324,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]",
1d6248e0-44da-11eb-806e-000d3a38a36f,117,2,219.96,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",
1dd7141c-9923-11ea-b97a-000d3a38a36f,306,10,1204.34,1,5,5,155,cant_loose,[COCUK],
1e27e18a-ad38-11e9-a2fc-000d3a38a36f,163,3,311.98,3,2,2,322,about_to_sleep,[COCUK],
1e2b18e8-9dc3-11e9-9897-000d3a38a36f,342,31,3274.1,1,5,5,155,cant_loose,"[ERKEK, COCUK, KADIN]",
1e2dd6cc-0b1e-11eb-8ffc-000d3a38a36f,119,2,49.98,3,1,1,311,about_to_sleep,"[COCUK, KADIN]",
1ead1d0e-5bd0-11ea-8257-000d3a38a36f,165,2,307.95,3,1,2,312,about_to_sleep,"[AKTIFCOCUK, AKTIFSPOR]",
